city,month,rainfall,trigger
ANDAMAN & NICOBAR ISLANDS,2,8.4,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,122.5,0
ANDAMAN & NICOBAR ISLANDS,5,327.3,1
ANDAMAN & NICOBAR ISLANDS,6,649.0,1
ANDAMAN & NICOBAR ISLANDS,7,253.0,1
ANDAMAN & NICOBAR ISLANDS,8,187.1,0
ANDAMAN & NICOBAR ISLANDS,9,464.5,1
ANDAMAN & NICOBAR ISLANDS,10,333.8,1
ANDAMAN & NICOBAR ISLANDS,11,94.5,0
ANDAMAN & NICOBAR ISLANDS,12,247.1,1
ANDAMAN & NICOBAR ISLANDS,1,583.7,1
ANDAMAN & NICOBAR ISLANDS,2,0.8,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,21.9,0
ANDAMAN & NICOBAR ISLANDS,5,140.7,0
ANDAMAN & NICOBAR ISLANDS,6,549.8,1
ANDAMAN & NICOBAR ISLANDS,7,468.9,1
ANDAMAN & NICOBAR ISLANDS,8,370.3,1
ANDAMAN & NICOBAR ISLANDS,9,386.2,1
ANDAMAN & NICOBAR ISLANDS,10,318.7,1
ANDAMAN & NICOBAR ISLANDS,11,117.2,0
ANDAMAN & NICOBAR ISLANDS,12,2.3,0
ANDAMAN & NICOBAR ISLANDS,1,84.8,0
ANDAMAN & NICOBAR ISLANDS,2,0.5,0
ANDAMAN & NICOBAR ISLANDS,3,1.3,0
ANDAMAN & NICOBAR ISLANDS,4,2.5,0
ANDAMAN & NICOBAR ISLANDS,5,190.7,0
ANDAMAN & NICOBAR ISLANDS,6,530.0,1
ANDAMAN & NICOBAR ISLANDS,7,280.8,1
ANDAMAN & NICOBAR ISLANDS,8,205.8,1
ANDAMAN & NICOBAR ISLANDS,9,580.1,1
ANDAMAN & NICOBAR ISLANDS,10,288.8,1
ANDAMAN & NICOBAR ISLANDS,11,133.0,0
ANDAMAN & NICOBAR ISLANDS,12,67.5,0
ANDAMAN & NICOBAR ISLANDS,1,0.0,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,37.7,0
ANDAMAN & NICOBAR ISLANDS,5,298.8,1
ANDAMAN & NICOBAR ISLANDS,6,383.3,1
ANDAMAN & NICOBAR ISLANDS,7,792.8,1
ANDAMAN & NICOBAR ISLANDS,8,520.5,1
ANDAMAN & NICOBAR ISLANDS,9,310.8,1
ANDAMAN & NICOBAR ISLANDS,10,139.8,0
ANDAMAN & NICOBAR ISLANDS,11,184.4,0
ANDAMAN & NICOBAR ISLANDS,12,289.7,1
ANDAMAN & NICOBAR ISLANDS,1,45.0,0
ANDAMAN & NICOBAR ISLANDS,2,56.7,0
ANDAMAN & NICOBAR ISLANDS,3,33.3,0
ANDAMAN & NICOBAR ISLANDS,4,40.9,0
ANDAMAN & NICOBAR ISLANDS,5,170.2,0
ANDAMAN & NICOBAR ISLANDS,6,334.7,1
ANDAMAN & NICOBAR ISLANDS,7,269.0,1
ANDAMAN & NICOBAR ISLANDS,8,317.2,1
ANDAMAN & NICOBAR ISLANDS,9,429.8,1
ANDAMAN & NICOBAR ISLANDS,10,468.1,1
ANDAMAN & NICOBAR ISLANDS,11,258.4,1
ANDAMAN & NICOBAR ISLANDS,12,318.0,1
ANDAMAN & NICOBAR ISLANDS,1,0.0,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,0.5,0
ANDAMAN & NICOBAR ISLANDS,5,487.4,1
ANDAMAN & NICOBAR ISLANDS,6,450.1,1
ANDAMAN & NICOBAR ISLANDS,7,317.3,1
ANDAMAN & NICOBAR ISLANDS,8,425.0,1
ANDAMAN & NICOBAR ISLANDS,9,561.2,1
ANDAMAN & NICOBAR ISLANDS,10,369.7,1
ANDAMAN & NICOBAR ISLANDS,11,192.6,0
ANDAMAN & NICOBAR ISLANDS,12,133.7,0
ANDAMAN & NICOBAR ISLANDS,1,8.0,0
ANDAMAN & NICOBAR ISLANDS,2,3.6,0
ANDAMAN & NICOBAR ISLANDS,3,112.0,0
ANDAMAN & NICOBAR ISLANDS,4,4.5,0
ANDAMAN & NICOBAR ISLANDS,5,295.9,1
ANDAMAN & NICOBAR ISLANDS,6,301.1,1
ANDAMAN & NICOBAR ISLANDS,7,394.8,1
ANDAMAN & NICOBAR ISLANDS,8,437.4,1
ANDAMAN & NICOBAR ISLANDS,9,471.8,1
ANDAMAN & NICOBAR ISLANDS,10,238.1,1
ANDAMAN & NICOBAR ISLANDS,11,108.3,0
ANDAMAN & NICOBAR ISLANDS,12,236.9,1
ANDAMAN & NICOBAR ISLANDS,1,77.4,0
ANDAMAN & NICOBAR ISLANDS,2,6.9,0
ANDAMAN & NICOBAR ISLANDS,3,11.4,0
ANDAMAN & NICOBAR ISLANDS,4,10.7,0
ANDAMAN & NICOBAR ISLANDS,5,729.3,1
ANDAMAN & NICOBAR ISLANDS,6,710.8,1
ANDAMAN & NICOBAR ISLANDS,7,200.9,1
ANDAMAN & NICOBAR ISLANDS,8,455.4,1
ANDAMAN & NICOBAR ISLANDS,9,303.3,1
ANDAMAN & NICOBAR ISLANDS,10,227.0,1
ANDAMAN & NICOBAR ISLANDS,11,366.9,1
ANDAMAN & NICOBAR ISLANDS,12,175.0,0
ANDAMAN & NICOBAR ISLANDS,1,10.2,0
ANDAMAN & NICOBAR ISLANDS,2,18.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,35.5,0
ANDAMAN & NICOBAR ISLANDS,5,283.9,1
ANDAMAN & NICOBAR ISLANDS,6,542.5,1
ANDAMAN & NICOBAR ISLANDS,7,246.5,1
ANDAMAN & NICOBAR ISLANDS,8,259.8,1
ANDAMAN & NICOBAR ISLANDS,9,170.7,0
ANDAMAN & NICOBAR ISLANDS,10,186.2,0
ANDAMAN & NICOBAR ISLANDS,11,340.4,1
ANDAMAN & NICOBAR ISLANDS,12,258.4,1
ANDAMAN & NICOBAR ISLANDS,1,122.3,0
ANDAMAN & NICOBAR ISLANDS,2,7.4,0
ANDAMAN & NICOBAR ISLANDS,3,3.1,0
ANDAMAN & NICOBAR ISLANDS,4,13.0,0
ANDAMAN & NICOBAR ISLANDS,5,237.4,1
ANDAMAN & NICOBAR ISLANDS,6,546.9,1
ANDAMAN & NICOBAR ISLANDS,7,294.4,1
ANDAMAN & NICOBAR ISLANDS,8,467.4,1
ANDAMAN & NICOBAR ISLANDS,9,505.4,1
ANDAMAN & NICOBAR ISLANDS,10,397.5,1
ANDAMAN & NICOBAR ISLANDS,11,262.9,1
ANDAMAN & NICOBAR ISLANDS,12,85.5,0
ANDAMAN & NICOBAR ISLANDS,1,13.2,0
ANDAMAN & NICOBAR ISLANDS,2,3.1,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,37.5,0
ANDAMAN & NICOBAR ISLANDS,5,351.2,1
ANDAMAN & NICOBAR ISLANDS,6,282.7,1
ANDAMAN & NICOBAR ISLANDS,7,487.1,1
ANDAMAN & NICOBAR ISLANDS,8,330.0,1
ANDAMAN & NICOBAR ISLANDS,9,581.2,1
ANDAMAN & NICOBAR ISLANDS,10,360.7,1
ANDAMAN & NICOBAR ISLANDS,11,118.2,0
ANDAMAN & NICOBAR ISLANDS,12,41.5,0
ANDAMAN & NICOBAR ISLANDS,1,245.3,1
ANDAMAN & NICOBAR ISLANDS,2,34.3,0
ANDAMAN & NICOBAR ISLANDS,3,15.6,0
ANDAMAN & NICOBAR ISLANDS,4,323.1,1
ANDAMAN & NICOBAR ISLANDS,5,289.7,1
ANDAMAN & NICOBAR ISLANDS,6,506.1,1
ANDAMAN & NICOBAR ISLANDS,7,425.8,1
ANDAMAN & NICOBAR ISLANDS,8,307.4,1
ANDAMAN & NICOBAR ISLANDS,9,511.7,1
ANDAMAN & NICOBAR ISLANDS,10,162.0,0
ANDAMAN & NICOBAR ISLANDS,11,541.0,1
ANDAMAN & NICOBAR ISLANDS,12,192.2,0
ANDAMAN & NICOBAR ISLANDS,1,79.5,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,91.3,0
ANDAMAN & NICOBAR ISLANDS,5,293.5,1
ANDAMAN & NICOBAR ISLANDS,6,808.4,1
ANDAMAN & NICOBAR ISLANDS,7,636.9,1
ANDAMAN & NICOBAR ISLANDS,8,182.2,0
ANDAMAN & NICOBAR ISLANDS,9,560.5,1
ANDAMAN & NICOBAR ISLANDS,10,131.9,0
ANDAMAN & NICOBAR ISLANDS,11,197.4,0
ANDAMAN & NICOBAR ISLANDS,12,70.6,0
ANDAMAN & NICOBAR ISLANDS,1,28.7,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,14.8,0
ANDAMAN & NICOBAR ISLANDS,4,89.7,0
ANDAMAN & NICOBAR ISLANDS,5,191.2,0
ANDAMAN & NICOBAR ISLANDS,6,261.2,1
ANDAMAN & NICOBAR ISLANDS,7,493.3,1
ANDAMAN & NICOBAR ISLANDS,8,290.9,1
ANDAMAN & NICOBAR ISLANDS,9,251.2,1
ANDAMAN & NICOBAR ISLANDS,10,331.1,1
ANDAMAN & NICOBAR ISLANDS,11,378.6,1
ANDAMAN & NICOBAR ISLANDS,1,36.6,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,8.6,0
ANDAMAN & NICOBAR ISLANDS,4,50.4,0
ANDAMAN & NICOBAR ISLANDS,5,282.2,1
ANDAMAN & NICOBAR ISLANDS,6,663.8,1
ANDAMAN & NICOBAR ISLANDS,7,241.8,1
ANDAMAN & NICOBAR ISLANDS,8,278.2,1
ANDAMAN & NICOBAR ISLANDS,9,201.9,1
ANDAMAN & NICOBAR ISLANDS,10,249.5,1
ANDAMAN & NICOBAR ISLANDS,11,271.5,1
ANDAMAN & NICOBAR ISLANDS,12,196.0,0
ANDAMAN & NICOBAR ISLANDS,1,122.1,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,0.5,0
ANDAMAN & NICOBAR ISLANDS,5,198.4,0
ANDAMAN & NICOBAR ISLANDS,6,370.0,1
ANDAMAN & NICOBAR ISLANDS,7,195.3,0
ANDAMAN & NICOBAR ISLANDS,8,523.7,1
ANDAMAN & NICOBAR ISLANDS,9,719.3,1
ANDAMAN & NICOBAR ISLANDS,10,443.8,1
ANDAMAN & NICOBAR ISLANDS,11,148.4,0
ANDAMAN & NICOBAR ISLANDS,12,560.7,1
ANDAMAN & NICOBAR ISLANDS,1,3.0,0
ANDAMAN & NICOBAR ISLANDS,2,17.5,0
ANDAMAN & NICOBAR ISLANDS,3,17.8,0
ANDAMAN & NICOBAR ISLANDS,4,108.6,0
ANDAMAN & NICOBAR ISLANDS,5,504.1,1
ANDAMAN & NICOBAR ISLANDS,6,433.3,1
ANDAMAN & NICOBAR ISLANDS,7,195.2,0
ANDAMAN & NICOBAR ISLANDS,8,370.1,1
ANDAMAN & NICOBAR ISLANDS,9,126.2,0
ANDAMAN & NICOBAR ISLANDS,10,327.5,1
ANDAMAN & NICOBAR ISLANDS,11,274.1,1
ANDAMAN & NICOBAR ISLANDS,12,65.5,0
ANDAMAN & NICOBAR ISLANDS,1,50.9,0
ANDAMAN & NICOBAR ISLANDS,2,67.6,0
ANDAMAN & NICOBAR ISLANDS,3,80.7,0
ANDAMAN & NICOBAR ISLANDS,4,129.3,0
ANDAMAN & NICOBAR ISLANDS,5,499.5,1
ANDAMAN & NICOBAR ISLANDS,6,410.2,1
ANDAMAN & NICOBAR ISLANDS,7,406.3,1
ANDAMAN & NICOBAR ISLANDS,8,391.5,1
ANDAMAN & NICOBAR ISLANDS,9,404.8,1
ANDAMAN & NICOBAR ISLANDS,10,444.5,1
ANDAMAN & NICOBAR ISLANDS,11,99.5,0
ANDAMAN & NICOBAR ISLANDS,12,13.5,0
ANDAMAN & NICOBAR ISLANDS,1,74.2,0
ANDAMAN & NICOBAR ISLANDS,2,118.4,0
ANDAMAN & NICOBAR ISLANDS,3,129.2,0
ANDAMAN & NICOBAR ISLANDS,4,69.8,0
ANDAMAN & NICOBAR ISLANDS,5,316.6,1
ANDAMAN & NICOBAR ISLANDS,6,588.8,1
ANDAMAN & NICOBAR ISLANDS,7,134.0,0
ANDAMAN & NICOBAR ISLANDS,8,644.7,1
ANDAMAN & NICOBAR ISLANDS,9,172.9,0
ANDAMAN & NICOBAR ISLANDS,10,413.0,1
ANDAMAN & NICOBAR ISLANDS,11,251.5,1
ANDAMAN & NICOBAR ISLANDS,12,13.5,0
ANDAMAN & NICOBAR ISLANDS,1,87.4,0
ANDAMAN & NICOBAR ISLANDS,2,105.4,0
ANDAMAN & NICOBAR ISLANDS,3,131.2,0
ANDAMAN & NICOBAR ISLANDS,4,10.9,0
ANDAMAN & NICOBAR ISLANDS,5,231.5,1
ANDAMAN & NICOBAR ISLANDS,6,533.6,1
ANDAMAN & NICOBAR ISLANDS,7,317.9,1
ANDAMAN & NICOBAR ISLANDS,8,446.7,1
ANDAMAN & NICOBAR ISLANDS,9,677.2,1
ANDAMAN & NICOBAR ISLANDS,10,82.3,0
ANDAMAN & NICOBAR ISLANDS,11,249.4,1
ANDAMAN & NICOBAR ISLANDS,12,201.6,1
ANDAMAN & NICOBAR ISLANDS,1,25.3,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,2.5,0
ANDAMAN & NICOBAR ISLANDS,4,2.5,0
ANDAMAN & NICOBAR ISLANDS,5,205.4,1
ANDAMAN & NICOBAR ISLANDS,6,393.5,1
ANDAMAN & NICOBAR ISLANDS,7,289.3,1
ANDAMAN & NICOBAR ISLANDS,8,571.0,1
ANDAMAN & NICOBAR ISLANDS,9,294.4,1
ANDAMAN & NICOBAR ISLANDS,10,368.3,1
ANDAMAN & NICOBAR ISLANDS,11,22.8,0
ANDAMAN & NICOBAR ISLANDS,12,182.7,0
ANDAMAN & NICOBAR ISLANDS,1,2.8,0
ANDAMAN & NICOBAR ISLANDS,2,2.5,0
ANDAMAN & NICOBAR ISLANDS,3,10.1,0
ANDAMAN & NICOBAR ISLANDS,4,58.2,0
ANDAMAN & NICOBAR ISLANDS,5,479.7,1
ANDAMAN & NICOBAR ISLANDS,1,4.5,0
